id,year
300123,2021
300124,2011
300124,2012
300124,2013
300124,2014
300124,2015
300124,2016
300124,2017
300124,2018
300124,2019
300124,2020
300124,2021
300125,2011
300125,2012
300125,2013
300125,2014
300125,2015
300125,2016
300125,2017
300125,2018
300125,2019
300125,2020
300125,2021
300126,2011
300126,2012
300126,2013
300126,2014
300126,2015
300126,2016
300126,2017
300126,2018
300126,2019
300126,2020
300126,2021
300127,2011
300127,2012
300127,2013
300127,2014
300127,2015
300127,2016
300127,2017
300127,2018
300127,2019
300127,2020
300127,2021
300128,2011
300128,2012
300128,2013
300128,2014
300128,2015
300128,2016
300128,2017
300128,2018
300128,2019
300128,2020
300128,2021
300129,2011
300129,2012
300129,2013
300129,2014
300129,2015
300129,2016
300129,2017
300129,2018
300129,2019
300129,2020
300129,2021
300130,2011
300130,2012
300130,2013
300130,2014
300130,2015
300130,2016
300130,2017
300130,2018
300130,2019
300130,2020
300130,2021
300131,2011
300131,2012
300131,2013
300131,2014
300131,2015
300131,2016
300131,2017
300131,2018
300131,2019
300131,2020
300131,2021
300132,2011
300132,2012
300132,2013
300132,2014
300132,2015
300132,2016
300132,2017
300132,2018
300132,2019
300132,2020
300132,2021
300133,2011
300133,2012
300133,2013
300133,2014
300133,2015
300133,2016
300133,2017
300133,2018
300133,2019
300133,2020
300133,2021
300134,2011
300134,2012
300134,2013
300134,2014
300134,2015
300134,2016
300134,2017
300134,2018
300134,2019
300134,2020
300134,2021
300135,2011
300135,2012
300135,2013
300135,2014
300135,2015
300135,2016
300135,2017
300135,2018
300135,2019
300135,2020
300135,2021
300136,2011
300136,2012
300136,2013
300136,2014
300136,2015
300136,2016
300136,2017
300136,2018
300136,2019
300136,2020
300136,2021
300137,2011
300137,2012
300137,2013
300137,2014
300137,2015
300137,2016
300137,2017
300137,2018
300137,2019
300137,2020
300137,2021
300138,2011
300138,2012
300138,2013
300138,2014
300138,2015
300138,2016
300138,2017
300138,2018
300138,2019
300138,2020
300138,2021
300139,2011
300139,2012
300139,2013
300139,2014
300139,2015
300139,2016
300139,2017
300139,2018
300139,2019
300139,2020
300139,2021
300140,2011
300140,2012
300140,2013
300140,2014
300140,2015
300140,2016
300140,2017
300140,2018
300140,2019
300140,2020
300140,2021
300141,2011
300141,2012
300141,2013
300141,2014
300141,2015
300141,2016
300141,2017
300141,2018
300141,2019
300141,2020
300141,2021
300142,2011
300142,2012
300142,2013
300142,2014
300142,2015
300142,2016
300142,2017
300142,2018
300142,2019
300142,2020
300142,2021
300143,2011
300143,2012
300143,2013
300143,2014
300143,2015
300143,2016
300143,2017
300143,2018
300143,2019
300143,2020
300143,2021
300144,2011
300144,2012
